gap_id,title,claim_ids,finding_ids,capability_ids,probe_ids,gap_classification,dimensions,severity,confidence,current_state,recommended_disposition,closure_stream,decision_required,decision_packet_hint,acceptance_evidence,dependencies
CQL-GAP-019,"Security, governance, audit, and multi-tenancy assurances are unenforced",CQL-WP-1B0702467819;CQL-WP-5DEA2F35D7D6;CQL-WP-6F7A816BE852;CQL-WP-8E079CB7A4CB;CQL-WP-910E05A5DDDE;CQL-WP-927698026F44;CQL-WP-D5C26877A0CD;CQL-WP-E7665FC969E0,CQL-FND-HR-020,CQL-CORE-AUD-001;CQL-CORE-BEN-001;CQL-CORE-BMP-001;CQL-CORE-CTX-002;CQL-CORE-MCP-001;CQL-CORE-REM-001;CQL-CORE-SCR-001;CQL-CORE-SEC-001;CQL-CORE-TRC-001;CQL-SRV-AUD-001;CQL-SRV-AUD-002;CQL-SRV-SEC-001,P3-EXE-018;P3-LAD-017,V,security;governance;audit;multi-tenancy;api,P0,high,"M1 reference design and M2 parse/metadata/audit surfaces; no server-boundary auth, RBAC, RLS, tenant isolation, or tamper evidence",awaiting-design-authority: immediately classify operational security/compliance prose as reference design and remove readiness assurances; require human security design authority before implementation claims resume,truth-repair;contract-repair;vertical-slice-completion;hardening,yes,What is the approved threat model and minimum enforceable security boundary before any production or regulated-industry claim?,Threat model; route authorization; cross-tenant abuse; RLS; credential-boundary; tamper-evident audit; privilege-denial tests; independent security review,human security design authority
CQL-GAP-020,Server explain executes instead of returning a dry plan,CQL-WP-506FAB66AF2A,CQL-FND-HR-021,CQL-CORE-EXP-001;CQL-SRV-EXP-001;CQL-SRV-EXP-002;CQL-SRV-QRY-001;CQL-SRV-QRY-002;CQL-SRV-QRY-003;CQL-SRV-QRY-004;CQL-SRV-VER-001,P3-API-001,V,api;security;semantics,P1,high,M4 executing trace endpoint conflicts with dry core explain and documented plan-only semantics,awaiting-design-authority: require server explain to be dry or give execution/trace a distinct explicit endpoint and authorization policy,contract-repair;vertical-slice-completion;hardening,yes,"Must /query/explain be side-effect-free, and if trace execution remains, what endpoint name and authorization make that explicit?",No-execution spies for adapter/provider/DDL paths; side-effect and authorization contract tests; OpenAPI documents behavior,explain safety decision
CQL-GAP-021,"Provider registration, activation, and health do not form a runtime broker",CQL-WP-35F33109BD23;CQL-WP-6AF540D3C3E9;CQL-WP-7DBCE3652446;CQL-WP-CFB95979A8CF,CQL-FND-HR-022,CQL-CORE-MCP-001;CQL-CORE-REM-001;CQL-CORE-SEC-001;CQL-SRV-EXP-001;CQL-SRV-EXP-002;CQL-SRV-PRO-001;CQL-SRV-PRO-002;CQL-SRV-PRO-003;CQL-SRV-QRY-001;CQL-SRV-QRY-002;CQL-SRV-QRY-003;CQL-SRV-QRY-004;CQL-SRV-VER-001,P3-API-001;P3-EXE-016;P3-LAD-015,P,federation;runtime;operations;api,P1,high,M3 direct runtime registration and M4 persisted metadata; no persisted-provider activation or live health broker,"awaiting-design-authority: define provider factory, credential resolution, activation lifecycle, health semantics, and failure policy; align DDL/API status to that contract",contract-repair;vertical-slice-completion;hardening,yes,"How does a persisted or DDL-registered provider become an executable runtime after restart, and what does health mean?","Restart and query an externally configured provider; bad credential, timeout, schema mismatch, disabled-state, and live-health fixtures",provider activation decision; credential policy
CQL-GAP-022,Exact path binding is described as global confidence-based identity resolution,CQL-WP-0C45C94727B9;CQL-WP-5592BF0BAA46,CQL-FND-HR-023,CQL-CORE-IDN-001;CQL-SRV-ID-001;CQL-SRV-ID-002,,V,identity;federation;governance;narrative,P1,high,M4 deterministic table.column path mapping; M0-M1 canonical/probabilistic identity model,awaiting-design-authority: rename/reframe the shipped mapping or approve a governed canonical identity model and confidence semantics,truth-repair;contract-repair;vertical-slice-completion,yes,"Is the supported capability deterministic path binding or global identity resolution, and are confidence/matching modes operational commitments?","Cross-system key-type, ambiguity/confidence, provenance, lifecycle, privacy, and authorization fixtures appropriate to the chosen scope",identity scope decision
CQL-GAP-023,Server and core release identity is contradictory,,CQL-FND-HR-024,CQL-SRV-VER-001,,C,api;packaging;compatibility,P1,high,"M4 working pair with conflicting application, package, README, and core version identifiers","awaiting-design-authority: choose the authoritative server version and compatibility policy, then generate every exposed identifier",contract-repair;hardening,yes,"Which server version is authoritative, and which core/server pairs are supported?","CI assertion across package metadata, OpenAPI, startup audit, README, release tag, and published compatibility matrix",release/version authority
CQL-GAP-024,Context update accepts fields that are silently ignored,,CQL-FND-HR-025,CQL-SRV-CAT-003,,P,api;semantics;compatibility,P1,high,M4 persistent update route with a request model broader than applied mutations,awaiting-design-authority: define mutable fields and compatibility consequences; implement supported mutations and reject the rest with a stable error,contract-repair;vertical-slice-completion;hardening,yes,"Which context fields are mutable after creation, and what version/snapshot effects follow each mutation?",One contract test per request field proves persisted and engine-observed change or explicit stable rejection,context mutability decision; lifecycle decision
CQL-GAP-025,Multi-statement parsing silently truncates execution,,CQL-FND-HR-026,CQL-CORE-QRY-002,,P,api;execution;compatibility,P1,high,M4 parser/lowerer retain statements; public execute returns only the first result,"awaiting-design-authority: reject extras, execute transactionally, or return an explicit multi-result type",contract-repair;vertical-slice-completion;hardening,yes,"What is the public multi-statement execution, atomicity, error, and result contract across SDK and CLI?",SELECT+DDL and DDL+failure atomicity probes; explicit multi-result or rejection tests; semicolon-in-literal CLI fixtures,multi-statement decision
CQL-GAP-026,Composite contexts and native parameters stop before execution,CQL-WP-62B4C921B4F2;CQL-WP-E2801958841C,CQL-FND-HR-027,CQL-CORE-CMP-001;CQL-CORE-DDL-001;CQL-CORE-DDL-002;CQL-CORE-HIS-001;CQL-CORE-OPT-001;CQL-CORE-PAR-003,P3-DDL-001;P3-DDL-002,P,semantics;runtime;persistence,P1,high,M2-M3 models and persistence; no composite materialization or native parameter validation/substitution,"awaiting-design-authority: approve composition/scoring and native binding semantics, or mark both surfaces designed",contract-repair;vertical-slice-completion;hardening,yes,"What are the v1 composition, score, refresh, and parameter binding/default/type/error semantics?",Successful and negative create/query/refresh/restart tests for each strategy and parameter type/default/error case,composition decision; score semantics; type-system decision
CQL-GAP-027,THEN collapses to intersection instead of staged candidate-scoped evaluation,CQL-WP-09F05D8E1348;CQL-WP-0BBB9FF0628A;CQL-WP-A3F2E3E6B766;CQL-WP-A9DD818D939D;CQL-WP-C1B33A3FEAAC;CQL-WP-CD2EFEC6AEEC;CQL-WP-DC0357CD8F3E,CQL-FND-HR-028,CQL-CORE-CMP-001;CQL-CORE-CTX-002;CQL-CORE-CTX-003;CQL-CORE-SCR-001,P3-CTX-001,V,semantics;runtime,P1,high,M3 syntax/lowering/execution with intersection-like behavior; staged semantics unproved and not enforced,"awaiting-design-authority: choose one normative meaning or introduce distinct operators for staged retrieval, temporal sequence, and intersection",contract-repair;vertical-slice-completion;hardening,yes,"What does THEN mean, including associativity, candidate propagation, score selection, side effects, and failures?","Instrumented provider proves second-stage candidate scoping; associativity, non-commutativity, score, side-effect, and failure fixtures",THEN semantics decision
CQL-GAP-028,Broad DDL grammar lacks parse-to-persistence completeness,CQL-WP-0D29D6A2491C;CQL-WP-21CE7759130B;CQL-WP-9A9FF97A9B5A;CQL-WP-CC3B700640DA,CQL-FND-HR-030,CQL-CORE-ADP-001;CQL-CORE-EVT-001;CQL-CORE-PAR-001;CQL-CORE-PAR-002;CQL-CORE-PRC-001;CQL-CORE-QRY-001;CQL-CORE-SEC-001;CQL-SRV-SEC-001,P3-EXE-012;P3-EXE-014;P3-EXE-020;P3-EXE-022;P3-LAD-007;P3-LAD-009;P3-LAD-011;P3-LAD-013;P3-LAD-015;P3-LAD-017;P3-LAD-019;P3-LAD-021;P3-PRO-001;P3-PRO-002,P,syntax;semantics;runtime;persistence,P1,high,M2 broad accepted grammar; several statements lower to UNKNOWN or lack execution and persistence,"awaiting-design-authority: classify each statement as normative v1, reserved syntax, or future; complete only approved vertical slices and report ladder maturity",contract-repair;vertical-slice-completion;hardening,yes,Which event/process/provider/security/settings statements are executable v1 contracts versus reserved syntax?,"Machine-generated statement ladder requires parse, model, analyzer, executor, stable errors, persistence, and restart evidence before status elevation",statement-surface decision; process/provider/security scope decisions
CQL-GAP-029,Core verification is import-order-sensitive,,CQL-FND-HR-031,CQL-CORE-RES-001,,T,verification;ci,P2,high,M5 product conversion path; full-suite green evidence is nondeterministic,Repair optional-dependency discovery and rerun the entire frozen suite in clean dependency matrices,hardening,no,none; test behavior is defective rather than semantically ambiguous,Full frozen suite passes in clean environments with and without every optional result-format extra,clean CI environments
CQL-GAP-030,HTTP surface lacks a version and compatibility contract,CQL-WP-24B6558AE9C0;CQL-WP-29E1F1769037;CQL-WP-8105C519874A;CQL-WP-A57576D122D9;CQL-WP-BEEC4169BEDA;CQL-WP-D8998113046B,CQL-FND-HR-032,CQL-SRV-API-001;CQL-SRV-AUD-001;CQL-SRV-CAT-001;CQL-SRV-EXP-001;CQL-SRV-EXP-002;CQL-SRV-ID-001;CQL-SRV-PRO-002;CQL-SRV-QRY-001;CQL-SRV-QRY-002;CQL-SRV-QRY-003;CQL-SRV-QRY-004;CQL-SRV-VER-001,P3-API-001,D,api;compatibility;narrative,P1,high,M4 persistent single-node API with 27 unversioned operations and incomplete README coverage,awaiting-design-authority: choose route versioning and stability/deprecation policy; commit generated OpenAPI and document supported routes,truth-repair;contract-repair;hardening,yes,"Will the existing unversioned surface remain public, gain /v1 aliases, or migrate, and what compatibility/deprecation policy applies?",Committed generated OpenAPI; compatibility diff in CI; examples for every supported public route; deprecation rules,API versioning decision; server version identity
