finding_id,title,claim_ids,capability_ids,evidence_ids,competing_evidence,gap_classification,dimensions,severity,confidence,adversarial_conclusion,required_adjudication,next_evidence
CQL-FND-HR-011,"Temporal semantics directly conflict with executable membership history","CQL-WP-63B55DC68187;CQL-WP-7D5BDE108A84","CQL-CORE-HIS-001;CQL-CORE-SNP-001","Phase3 core hardening tests; tests/test_hardening_plan.py:258-458","Whitepaper and older OQ-9 define temporal-column filtering; current SPEC/later decisions and executor replay membership history for AT/BETWEEN, while AT VERSION selects snapshot versions. BETWEEN uses ever-present membership and max observed score.",V,"semantics;storage;compatibility",P1,high,"This is not editorial drift: the same syntax has incompatible meanings and can change result membership.","Record explicit supersession and choose one meaning or distinct syntax for event-time filtering versus membership-history queries.","Add normative fixtures with the same rows producing different outcomes under the two models, including retention boundaries and BETWEEN score behavior."
CQL-FND-HR-012,"CONTEXT_SCORE scope error code is wrong in the whitepaper","CQL-WP-945AA0A449F8","CQL-CORE-LNT-001;CQL-CORE-ERR-001","tests/test_linter.py:72-82","Whitepaper says E111; implementation/README use E108 for scope and reserve E111 for score-expression type errors.",C,"diagnostics;compatibility",P1,high,"A documented stable diagnostic is assigned to two meanings.","Approve E108 or a replacement via the canonical registry and mark the other statement superseded.","Add a documentation-registry consistency check and public negative test."
CQL-FND-HR-013,"Window-without-score warning code and behavior conflict","CQL-WP-F6B02C9B10FA","CQL-CORE-WIN-001;CQL-CORE-ERR-001","tests/test_linter.py:126-138","Whitepaper uses W101 and promises entity-key ascending truncation; implementation uses W001 while W101 means failed refresh. Tooling hover says scores are required, conflicting with warning-and-continue behavior.",C,"semantics;diagnostics;devx",P1,high,"Both code identity and legality are inconsistent; deterministic runtime ordering lacks a focused executor fixture.","Choose legal-with-warning versus invalid and define unscored ordering.","Add end-to-end window fixtures on deliberately unsorted keys and synchronize hover/spec/error registry."
CQL-FND-HR-014,"DEVIATION_SCORE is documented as executable semantics without a runtime","CQL-WP-E0B33BFAED44","CQL-CORE-EVT-001;CQL-CORE-PRC-001","P3-EXE-012;P3-EXE-014","Whitepaper specifies DEVIATION_SCORE range, but event logs and process models do not execute and no process-function runtime establishes the value.",I,"process;semantics;runtime",P1,high,"A return-domain claim cannot be verified before the function and its model execution exist.","Confirm whether process intelligence is normative v1, reference design, or future research.","Implement a minimal event-log/process-model vertical slice with conformance fixtures or mark all process return contracts non-current."
CQL-FND-HR-015,"OCEL future status is internally sound but forward-compatibility is unproved","CQL-WP-C5C16B448A02;CQL-WP-EC85D026E6E7;CQL-WP-48719858EA50","CQL-CORE-EVT-001;CQL-CORE-PRC-001","P3-PRO-001;P3-PRO-002","Whitepaper/decisions consistently defer OCEL, but also claim current CREATE EVENT LOG is forward-compatible. The DDL is parse/model-only and no OCEL evolution/migration fixture demonstrates compatibility.",T,"process;compatibility;roadmap",P2,medium,"The deferral is correctly labeled; the stronger compatibility assurance is speculative.","Retain OCEL as future and decide whether forward-compatible is a requirement or aspiration.","Define an OCEL extension sketch and prove current identifiers/catalog shapes can migrate without semantic break, or soften the claim."
CQL-FND-HR-016,"Nine-state lifecycle is not implemented or enforced","CQL-WP-BF1F3291584C;CQL-WP-66DB2AA5B51F;CQL-WP-D71BB7D52680","CQL-CORE-LIF-001;CQL-SRV-CAT-001;CQL-SRV-CAT-004;CQL-SRV-CAT-005","Focused core probe: retired context remained queryable","Whitepaper promises a governed nine-state FSM and production guarantees. Core accepts four strings, CREATE sets active, server immediately rewrites create to draft, and query execution does not gate retired/draft contexts.",V,"lifecycle;runtime;api;operations",P1,high,"Lifecycle is catalog metadata plus a few server endpoints, not the claimed state machine or query-safety boundary.","Choose canonical states, legal transitions, core/server create semantics, and query visibility rules.","Add state-transition matrices, invalid-transition tests, restart tests, and query probes in every state before asserting governance."
CQL-FND-HR-017,"Freshness codes and refresh behavior are internally inconsistent","CQL-WP-FFCA3426B13A;CQL-WP-1A867374DEE3;CQL-WP-3FCC4C832E5F;CQL-WP-9B44A1743052","CQL-CORE-OPT-001;CQL-CORE-SNP-001;CQL-SRV-SCH-001","Core errors.py registry; server scheduler tests","Whitepaper uses W010/W012/W013, max_staleness, async/sync refresh policy, and dependency-version warnings. Implementation uses stale_after with W100, refresh-failure W101, an optional polling scheduler, and has no W013 emitter or strict_freshness behavior.",V,"freshness;lifecycle;diagnostics;operations",P1,high,"Freshness behavior is a mix of incompatible vocabulary, codes, and unimplemented policy branches.","Adopt one freshness model and specify whether stale reads trigger work, block, or only warn.","Create clock-controlled stale/very-stale/failed-refresh/dependency-version tests across core and restart-persistent server state."
CQL-FND-HR-018,"v1 micro-batch streaming claims contradict explicit deferral and code","CQL-WP-3D6733377440;CQL-WP-4633954A88FF;CQL-WP-7ADB781864CA;CQL-WP-9FE16BD53DD7;CQL-WP-A608F1F3F3E1;CQL-WP-DF1416B35A07","CQL-CORE-OPT-001;CQL-SRV-DS-004","Static decisions OPS-3; no embedded generic micro-batch processor found","Whitepaper claims v1 embedded one-second micro-batching and compares it as a current alternative, while its own status/future sections and DECISIONS defer streaming. The DeepSee synchronizer folds a connector change feed but is not a generic streaming processor.",C,"streaming;operations;narrative",P1,high,"Current-tense v1 streaming claims are false for the pinned pair and conflict with explicit deferral.","Confirm deferral and distinguish connector incremental synchronization from generic streaming semantics.","Remove/currently-label v1 statements; define a future minimal slice, delivery owner, watermark/replay contract, and load/failure experiment."
CQL-FND-HR-019,"Future capabilities are correctly labeled but detailed prose risks implied commitment","CQL-WP-0E0C6F65E3BA;CQL-WP-D7EFCF9EB86B","CQL-CORE-ADP-001;CQL-CORE-IDN-001;CQL-SRV-SEC-001","Static absence from inventories","LLM synthesis, multi-adapter/distributed execution, external streaming, and temporal identity are explicitly future/deferred, but surrounding sections describe concrete APIs/architecture in present tense.",R,"roadmap;narrative",P2,high,"These two high-risk claims are not implementation gaps when retained as non-committed future directions; the risk is status leakage from detailed design prose.","Approve whether each is committed, incubating, or illustrative, with a target maturity and sponsor only if committed.","Keep future sections visually separate; add roadmap decision state and a falsifiable experiment for any item promoted beyond research."
CQL-FND-HR-020,"Production-ready security and compliance claims are unsafe","CQL-WP-E7665FC969E0;CQL-WP-5DEA2F35D7D6;CQL-WP-6F7A816BE852;CQL-WP-8E079CB7A4CB","CQL-CORE-SEC-001;CQL-CORE-AUD-001;CQL-SRV-SEC-001;CQL-SRV-AUD-001;CQL-SRV-AUD-002","Server 109 tests pass, but no auth/RBAC/RLS/tenant abuse suite exists","Whitepaper claims fail-closed privileges, RLS/classification propagation, hash-chained Parquet audit, tenant isolation, and regulated-industry readiness. Core only parses GRANT and emits callbacks; server has unauthenticated routes and mutable SQLite audit rows without hash chain or authorization.",V,"security;governance;audit;multi-tenancy",P0,high,"This is the most dangerous maturity inflation: public claims describe controls that are absent at enforcement boundaries.","Immediately classify security prose as reference design, remove production-ready/compliance assurance, and assign a human security design authority before implementation claims resume.","Threat model; route authorization tests; tenant-isolation abuse tests; RLS fixtures; credential-boundary review; tamper-evident audit verification; independent security review."
CQL-FND-HR-021,"Server explain is an executing endpoint, not a plan endpoint","CQL-WP-506FAB66AF2A","CQL-CORE-EXP-001;CQL-SRV-EXP-001;CQL-SRV-EXP-002","P3-API-001","Whitepaper defines POST /v1/query/explain as returning an execution plan; actual unversioned /query/explain invokes normal execution and returns rows plus trace. Core Engine.explain is dry, so identically named surfaces have opposite safety properties.",V,"api;security;semantics",P1,high,"Callers can cause provider calls, data reads, or future mutations while expecting plan-only behavior.","Decide whether server explain must be dry. If execution/trace is desired, give it a distinct explicit endpoint and authorization policy.","Add no-execution spies for adapter/provider/DDL paths, authorization tests, and OpenAPI side-effect documentation."
CQL-FND-HR-022,"Persistent provider registry is not a runtime broker","CQL-WP-CFB95979A8CF;CQL-WP-7DBCE3652446","CQL-SRV-PRO-001;CQL-SRV-PRO-002;CQL-SRV-PRO-003;CQL-CORE-MCP-001;CQL-CORE-REM-001","Server inventory; server tests/test_providers.py","Server CRUD persists provider metadata and stored health, but startup does not instantiate or register persisted providers with core. Health returns stored state rather than an active endpoint probe. Built-in/mock providers are wired separately.",P,"federation;runtime;operations",P1,high,"A configured provider can appear enabled/healthy in control-plane metadata yet be unavailable to query execution.","Define provider factory/credential resolution, activation lifecycle, health semantics, and failure policy.","Restart an externally configured provider and query it end to end; inject bad credentials, timeout, schema mismatch, and disabled-state cases."
CQL-FND-HR-023,"Identity registry is not the global confidence-based identity model","CQL-WP-5592BF0BAA46","CQL-CORE-IDN-001;CQL-SRV-ID-001;CQL-SRV-ID-002","Core tests/test_identity_map.py; server tests/test_identity.py","Whitepaper says mappings link system-specific keys to canonical global IDs with confidence. Runtime synchronization sends exact table.column path pairs; confidence/matching mode are stored metadata and no canonical entity records or probabilistic resolver exist.",V,"identity;federation;governance",P1,high,"The implemented feature is deterministic column binding, materially narrower than identity resolution.","Rename/reframe the current feature or approve a canonical identity model with confidence semantics and governance.","Cross-system key-type tests, ambiguity/confidence fixtures, provenance, lifecycle, privacy, and authorization tests."
CQL-FND-HR-024,"Server version identity is contradictory","","CQL-SRV-VER-001","P3-API-001; Phase3 environment metadata","Generated OpenAPI/application startup reports 0.3.0; installed package metadata and README report 0.1.0; core reports 0.2.0.",C,"api;packaging;compatibility",P1,high,"Clients and audit records cannot identify a coherent server release or compatible pair.","Choose the authoritative server version and publish a core/server compatibility matrix.","CI assertion across package metadata, FastAPI OpenAPI, startup audit, README, and release tag."
CQL-FND-HR-025,"Public context-update fields are accepted but ignored","","CQL-SRV-CAT-003","Server inventory; server tests/test_catalog.py","ContextUpdate accepts entity_key, has_score, and classification, but CatalogService.update applies definition, description, tags, and score-column changes only.",P,"api;semantics",P1,high,"A successful request may silently fail to apply user intent, which is worse than explicit rejection for catalog semantics.","Decide which fields are mutable and their compatibility/version consequences.","One contract test per request field asserting persisted and engine-observed behavior; reject unsupported fields with a stable error."
CQL-FND-HR-026,"Multi-statement parsing is not multi-statement execution","","CQL-CORE-QRY-002","P3-MUL-001;P3-MUL-002","Parser/lowerer retain two statements, but Engine.execute returns only the first result and silently ignores the second. CLI file mode implements separate naive splitting.",P,"api;execution;compatibility",P1,high,"Silent truncation can omit DDL or queries without an error and has no explicit public contract.","Choose reject-extras, execute transactionally, or return a multi-result type.","Probe SELECT+DDL and DDL+failing-DDL atomicity; add semicolon-in-literal CLI fixtures."
CQL-FND-HR-027,"Composite and native parameter syntax stop before execution","CQL-WP-E2801958841C;CQL-WP-62B4C921B4F2","CQL-CORE-CMP-001;CQL-CORE-PAR-003","Focused core probe: COMPOSE query failed Unknown context","COMPOSE models and dependencies persist, but no live resolution or composite snapshot is built. Native context parameter declarations/invocations lower, but arguments are not validated/substituted; only MCP receives parameters.",P,"semantics;runtime",P1,high,"These are parse/model surfaces that look like core language features but lack end-to-end semantics.","Approve v1 semantics for composition strategy/scoring and native parameter binding, or explicitly mark both designed.","Successful and negative create/query/refresh/restart tests for each strategy and parameter type/default/error case."
CQL-FND-HR-028,"THEN currently collapses to intersection","CQL-WP-A9DD818D939D;CQL-WP-09F05D8E1348;CQL-WP-CD2EFEC6AEEC;CQL-WP-0BBB9FF0628A;CQL-WP-C1B33A3FEAAC;CQL-WP-DC0357CD8F3E","CQL-CORE-CTX-003","P3-CTX-001","Whitepaper describes candidate-scoped staged, left-associative evaluation; executor combines masks with AND and explicitly notes staged scoping is not enforced. The Phase 3 result is indistinguishable from intersection.",V,"semantics;runtime",P1,high,"The same syntax cannot safely stand for staged retrieval, temporal sequence, and set intersection.","Choose one normative meaning or introduce distinct operators.","Use an instrumented provider whose second-stage result/call depends on the candidate set; test associativity, scores, side effects, and failures."
CQL-FND-HR-029,"Advertised score strategies are not strategy-specific execution","CQL-WP-90C1D0CF874A;CQL-WP-656B8DB419DD;CQL-WP-526B2E1EC29D;CQL-WP-1D2DDED23602","CQL-CORE-SCR-001","Static executor TODO; core tests/test_executor.py","Grammar accepts MAX, MIN, AVG, SUM, COUNT, WEIGHTED_MAX, WEIGHTED_SUM; executor performs fixed accumulation/intersection behavior and does not switch on all strategy values.",P,"semantics;runtime",P1,high,"Parsing an ORDER BY strategy currently overstates executable score algebra.","Resolve default and per-strategy formulas, normalization, negation, and tie-breaking.","Golden result matrix for each strategy across union/intersection, missing scores, multiple bindings, weights, ties, and snapshots."
CQL-FND-HR-030,"Event/process/security/provider DDL is mostly parse-only","CQL-WP-21CE7759130B;CQL-WP-CFB95979A8CF;CQL-WP-9A9FF97A9B5A","CQL-CORE-EVT-001;CQL-CORE-PRC-001;CQL-CORE-SEC-001","P3-LAD-009 through P3-EXE-022","EXPLAIN CONTEXT and provider/security/settings DDL lower to UNKNOWN; event/process CREATE lower but do not execute; companion event/process DDL is also unsupported.",P,"syntax;semantics;runtime",P1,high,"The grammar creates a broad apparent language whose executable subset is much smaller.","Approve which statements are normative v1 versus reserved syntax.","Machine-generated statement ladder requiring parse, model, analyzer, executor, errors, and persistence evidence before public status elevation."
CQL-FND-HR-031,"Full core suite is import-order-sensitive","","CQL-CORE-RES-001","Phase3 core test_results.json","Frozen core collected 556 tests: 554 passed, 1 failed, 1 skipped. The Polars test infers package absence from sys.modules and passes on a targeted rerun only when imported first.",T,"verification;ci",P2,high,"The product conversion works, but clean-suite green status is nondeterministic and cannot be claimed without qualification.","Treat optional-dependency presence via import discovery, not import order.","Repair the test and rerun the entire frozen suite in clean environments with and without each optional extra."
CQL-FND-HR-032,"HTTP surface is unversioned, under-documented, and ahead of package metadata","CQL-WP-D8998113046B;CQL-WP-506FAB66AF2A;CQL-WP-BEEC4169BEDA;CQL-WP-24B6558AE9C0;CQL-WP-8105C519874A;CQL-WP-7DBCE3652446;CQL-WP-29E1F1769037;CQL-WP-A57576D122D9","CQL-SRV-API-001;CQL-SRV-QRY-001;CQL-SRV-CAT-001;CQL-SRV-PRO-002;CQL-SRV-ID-001;CQL-SRV-AUD-001;CQL-SRV-VER-001","P3-API-001","OpenAPI exposes 27 unversioned operations while whitepaper examples use /v1 and server README describes mainly health/query. Current surface includes durable catalog, refresh, history, provider, identity, audit, and explain operations.",D,"api;compatibility;narrative",P1,high,"The product has evolved beyond its README but without an explicit API version/compatibility contract.","Choose route versioning and stability policy before describing these endpoints as public.","Commit generated OpenAPI; run compatibility diff in CI; add README examples for every supported public route and deprecation rules."
