"claim_id","source_path","source_lines","section","atomic_claim","claim_class","domain","stated_maturity_or_target_version","normativity","expected_evidence","corroborating_or_related_sources","potential_conflict_or_drift","review_risk","initial_notes"
"CQL-WP-4FC6AFBBFD2B","WHITEPAPER.md","197","2. Motivation","They require cross-system federation (which entities does the fraud model flag?), formal composition (which are BOTH overdue AND from risky vendors?), and scored ranking (which are most urgent?).","behavior-semantics","federation-identity","architecture claim; maturity not stated locally","descriptive assertion","provider/transport implementation, contract tests, failure-mode tests, and integration fixture","SPEC.md:246-261; DECISIONS.md:53-80,604-645; SPEC.md:140-148,464-491; DECISIONS.md:198-294,549-672; docs/architecture/DEEPSEE_CONNECTOR.md","","medium","Source sentence retained as one review unit; reviewer should split further if the linked clauses can vary independently."
"CQL-WP-7FB6006BA30A","WHITEPAPER.md","197","2. Motivation","Contexts represent situational conditions that span multiple tables, events, processes, and external systems.","design-claim","process-intelligence","architecture claim; maturity not stated locally","descriptive assertion","function/DDL implementation and event-log conformance fixtures","","","normal","Source sentence retained as one review unit; reviewer should split further if the linked clauses can vary independently."
"CQL-WP-D8FA9404B2EF","WHITEPAPER.md","197","2. Motivation","No semantic layer provides this.","architecture","product-architecture","architecture claim; maturity not stated locally","descriptive assertion","normative specification or decision plus implementation and acceptance test where claimed as shipped","","","normal","Direct declarative extraction from the whitepaper."
"CQL-WP-10972C71BEB3","WHITEPAPER.md","199","2. Motivation","Business logic is duplicated across queries, dashboards, and applications.","design-claim","product-architecture","architecture claim; maturity not stated locally","descriptive assertion","normative specification or decision plus implementation and acceptance test where claimed as shipped","","","normal","Source sentence retained as one review unit; reviewer should split further if the linked clauses can vary independently."
"CQL-WP-44EEE5671499","WHITEPAPER.md","200","2. Motivation","Queries become difficult to maintain as operational rules evolve.","design-claim","product-architecture","architecture claim; maturity not stated locally","descriptive assertion","normative specification or decision plus implementation and acceptance test where claimed as shipped","","","normal","Direct declarative extraction from the whitepaper."
"CQL-WP-5BC607DF65D1","WHITEPAPER.md","201","2. Motivation","Operational prioritization is difficult because ranking requires combining signals from multiple conditions.","design-claim","language-semantics","architecture claim; maturity not stated locally","descriptive assertion","grammar/parser support, semantic implementation, and positive/negative conformance tests","","","normal","Direct declarative extraction from the whitepaper."
"CQL-WP-F8DB0AD68E8D","WHITEPAPER.md","202","2. Motivation","Cross-system context (ML models, external trackers, process mining) requires ad-hoc ETL pipelines.","architecture","process-intelligence","architecture claim; maturity not stated locally","descriptive assertion","function/DDL implementation and event-log conformance fixtures","","","normal","Source sentence retained as one review unit; reviewer should split further if the linked clauses can vary independently."
"CQL-WP-EF37539F583C","WHITEPAPER.md","203","2. Motivation","Governance is impossible because there is no named, versioned, auditable artifact representing a business situation.","design-claim","security-governance","architecture claim; maturity not stated locally","descriptive assertion","enforcement implementation, adversarial tests, audit evidence, and documented threat/control mapping","SPEC.md:493-514; DECISIONS.md:700-796","","medium","Source sentence retained as one review unit; reviewer should split further if the linked clauses can vary independently."
"CQL-WP-8F8F3A9E7CAD","WHITEPAPER.md","205","2. Motivation","ContextQL addresses this gap as a context resolution layer — elevating operational situations to first-class query primitives with formal algebra, lifecycle management, and federated composition across distributed systems.","architecture","federation-identity","architecture claim; maturity not stated locally","descriptive assertion","provider/transport implementation, contract tests, failure-mode tests, and integration fixture","SPEC.md:140-148,464-491; DECISIONS.md:198-294,549-672; docs/architecture/DEEPSEE_CONNECTOR.md","","medium","Source sentence retained as one review unit; reviewer should split further if the linked clauses can vary independently."
"CQL-WP-40783F7EB8EA","WHITEPAPER.md","211","3. Design Principles","ContextQL follows five guiding principles.","design-claim","product-architecture","architecture claim; maturity not stated locally","descriptive assertion","normative specification or decision plus implementation and acceptance test where claimed as shipped","","","normal","Direct declarative extraction from the whitepaper."
"CQL-WP-663F40A8A9A3","WHITEPAPER.md","215","3.1 SQL-First","Existing SQL knowledge remains applicable.","design-claim","product-architecture","architecture claim; maturity not stated locally","descriptive assertion","normative specification or decision plus implementation and acceptance test where claimed as shipped","","","normal","Direct declarative extraction from the whitepaper."
"CQL-WP-931FC1AF2C44","WHITEPAPER.md","215","3.1 SQL-First","ContextQL extends SQL rather than replacing it.","interface-contract","developer-platform","architecture claim; maturity not stated locally","descriptive assertion","public interface implementation, protocol/API tests, and user-facing example","README.md:102-263,303-326; docs/TOOLING.md:25-209","","normal","Direct declarative extraction from the whitepaper."
"CQL-WP-9E08C9D03070","WHITEPAPER.md","215","3.1 SQL-First","Standard SQL queries pass through to the underlying execution engine unchanged; only queries using context-specific syntax (CONTEXT IN, CREATE CONTEXT, process functions) activate the ContextQL pipeline.","language-surface","process-intelligence","architecture claim; maturity not stated locally","descriptive assertion","function/DDL implementation and event-log conformance fixtures","","Needs dialect-by-dialect conformance evidence; Section 40 explicitly limits SQL conformance.","high","Source sentence retained as one review unit; reviewer should split further if the linked clauses can vary independently."
"CQL-WP-6D0705EBC0CE","WHITEPAPER.md","219","3.2 Context-First Semantics","Operational situations are defined once and reused everywhere.","behavior-semantics","product-architecture","architecture claim; maturity not stated locally","descriptive assertion","normative specification or decision plus implementation and acceptance test where claimed as shipped","","","normal","Source sentence retained as one review unit; reviewer should split further if the linked clauses can vary independently."
"CQL-WP-72AB0BDBAD0C","WHITEPAPER.md","219","3.2 Context-First Semantics","A context is a named, governed, versioned abstraction that resolves to an entity membership set with optional scores.","behavior-semantics","language-semantics","architecture claim; maturity not stated locally","descriptive assertion","grammar/parser support, semantic implementation, and positive/negative conformance tests","SPEC.md:246-261; DECISIONS.md:53-80,604-645; SPEC.md:306-325; DECISIONS.md:1107-1403; docs/architecture/BITMAP_CONTEXT_STORAGE.md","","normal","Source sentence retained as one review unit; reviewer should split further if the linked clauses can vary independently."
"CQL-WP-4281145E74E5","WHITEPAPER.md","223","3.3 Columnar-Native Execution","The engine processes data in columnar batches (Apache Arrow RecordBatch) with vectorized operators, enabling SIMD-friendly computation paths.","architecture","process-intelligence","architecture claim; maturity not stated locally","descriptive assertion","function/DDL implementation and event-log conformance fixtures","","","normal","Source sentence retained as one review unit; reviewer should split further if the linked clauses can vary independently."
"CQL-WP-8D44BBF86B38","WHITEPAPER.md","223","3.3 Columnar-Native Execution","Execution targets modern analytical engines such as DuckDB, Polars, and Arrow.","design-claim","storage-lifecycle","architecture claim; maturity not stated locally","aspirational","storage/catalog implementation, transition and concurrency tests, and recovery evidence","","README.md:54-74 identifies a hybrid DuckDB engine and DuckDB adapter; equivalent Polars/Arrow execution support is not asserted there.","high","Source sentence retained as one review unit; reviewer should split further if the linked clauses can vary independently."
"CQL-WP-27853AE2A32B","WHITEPAPER.md","227","3.4 Retrieval-Oriented Design","Combined with context scores and ranking, this creates a retrieval model similar to information retrieval systems but operating on structured business data.","behavior-semantics","language-semantics","architecture claim; maturity not stated locally","descriptive assertion","grammar/parser support, semantic implementation, and positive/negative conformance tests","SPEC.md:246-261; DECISIONS.md:53-80,604-645","","normal","Source sentence retained as one review unit; reviewer should split further if the linked clauses can vary independently."
"CQL-WP-B537AEBC3005","WHITEPAPER.md","227","3.4 Retrieval-Oriented Design","Contexts resolve to entity sets stored as roaring bitmaps, enabling O(1) per-entity membership probes.","performance-target","storage-lifecycle","architecture claim; maturity not stated locally","descriptive assertion","reproducible benchmark with dataset, hardware, configuration, and raw results","SPEC.md:306-325; DECISIONS.md:1107-1403; docs/architecture/BITMAP_CONTEXT_STORAGE.md","Asymptotic statement is stronger than the architecture documents, which describe bitmap operations but do not establish end-to-end O(1) retrieval.","high","Source sentence retained as one review unit; reviewer should split further if the linked clauses can vary independently."
"CQL-WP-796C991AF7A9","WHITEPAPER.md","231","3.5 Progressive Extensibility","Each capability layer is independently useful.","architecture","product-architecture","architecture claim; maturity not stated locally","descriptive assertion","normative specification or decision plus implementation and acceptance test where claimed as shipped","","","normal","Direct declarative extraction from the whitepaper."
"CQL-WP-814D00F7902F","WHITEPAPER.md","231","3.5 Progressive Extensibility","ContextQL is designed for incremental adoption alongside existing SQL.","maturity-status","storage-lifecycle","architecture claim; maturity not stated locally","design-intent","implementation artifact plus executable acceptance test or release record","","","medium","Direct declarative extraction from the whitepaper."
"CQL-WP-B9785C3E1899","WHITEPAPER.md","231","3.5 Progressive Extensibility","Organizations can start by wrapping existing WHERE clauses as named contexts, then progressively adopt scoring, process functions, federation, and lifecycle management.","language-surface","federation-identity","architecture claim; maturity not stated locally","descriptive assertion","provider/transport implementation, contract tests, failure-mode tests, and integration fixture","SPEC.md:132-138; DECISIONS.md:110-123; SPEC.md:140-148,464-491; DECISIONS.md:198-294,549-672; docs/architecture/DEEPSEE_CONNECTOR.md","","medium","Source sentence retained as one review unit; reviewer should split further if the linked clauses can vary independently."
"CQL-WP-81C7DBE37FBB","WHITEPAPER.md","237","4. Core Language Concepts","ContextQL operates on several core logical constructs.","design-claim","product-architecture","architecture claim; maturity not stated locally","descriptive assertion","normative specification or decision plus implementation and acceptance test where claimed as shipped","","","normal","Direct declarative extraction from the whitepaper."
"CQL-WP-A6C323BAEC1B","WHITEPAPER.md","241","4.1 Entities","An entity is a uniquely identifiable business object:","design-claim","product-architecture","architecture claim; maturity not stated locally","descriptive assertion","normative specification or decision plus implementation and acceptance test where claimed as shipped","","","normal","Direct declarative extraction from the whitepaper."
"CQL-WP-345611F965E5","WHITEPAPER.md","247","4.1 Entities","Entities exist in underlying tables","design-claim","product-architecture","architecture claim; maturity not stated locally","descriptive assertion","normative specification or decision plus implementation and acceptance test where claimed as shipped","","","normal","Direct declarative extraction from the whitepaper."
"CQL-WP-63A2335D6C03","WHITEPAPER.md","247","4.1 Entities","Where entity_type is an identifier (e.g., ""invoice"", ""order"", ""vendor""), entity_id is the primary key value, and attributes are column values from the source table.","design-claim","language-semantics","architecture claim; maturity not stated locally","descriptive assertion","grammar/parser support, semantic implementation, and positive/negative conformance tests","","","normal","Source sentence retained as one review unit; reviewer should split further if the linked clauses can vary independently."
"CQL-WP-76E0600600E1","WHITEPAPER.md","247","4.1 Entities","ContextQL references them through SQL table references.","design-claim","product-architecture","architecture claim; maturity not stated locally","descriptive assertion","normative specification or decision plus implementation and acceptance test where claimed as shipped","","","normal","Direct declarative extraction from the whitepaper."
"CQL-WP-8A5E830C2E8F","WHITEPAPER.md","247","4.1 Entities","Two entities are identical if and only if they share the same entity type and entity ID.","requirement","language-semantics","architecture claim; maturity not stated locally","descriptive assertion","grammar/parser support, semantic implementation, and positive/negative conformance tests","","","normal","Source sentence retained as one review unit; reviewer should split further if the linked clauses can vary independently."
"CQL-WP-4D8FCF7017BB","WHITEPAPER.md","251","4.2 Events","An event is a timestamped activity record associated with an entity:","design-claim","process-intelligence","architecture claim; maturity not stated locally","descriptive assertion","function/DDL implementation and event-log conformance fixtures","","","normal","Direct declarative extraction from the whitepaper."
"CQL-WP-24059E976717","WHITEPAPER.md","257","4.2 Events","ContextQL assumes a flat event log model where each event is associated with exactly one case identifier, compatible with the XES standard (IEEE 1849-2016) and the majority of deployed process mining systems.","design-claim","process-intelligence","architecture claim; maturity not stated locally","descriptive assertion","function/DDL implementation and event-log conformance fixtures","SPEC.md:40-50,175-186,422-462; DECISIONS.md:296-406","","normal","Source sentence retained as one review unit; reviewer should split further if the linked clauses can vary independently."
"CQL-WP-FAF82E148E4E","WHITEPAPER.md","257","4.2 Events","Events are the foundation for process intelligence functions.","design-claim","process-intelligence","architecture claim; maturity not stated locally","descriptive assertion","function/DDL implementation and event-log conformance fixtures","SPEC.md:40-50,175-186,422-462; DECISIONS.md:296-406","","normal","Direct declarative extraction from the whitepaper."
