capability_id,domain,atomic_claim,implementation_evidence,public_surface,reachability,maturity,positive_evidence,negative_evidence,documented_claims,notes
CQL-CORE-WIN-001,windowing,"WITH CONTEXT WINDOW limits the post-context result set.","grammar/contextql.lark:33; contextql/semantic.py:128-142,513-606; contextql/executor.py:174-255","WITH CONTEXT WINDOW n",executable,M3,"tests/test_parser.py:128-130; tests/test_linter.py:126-138; tests/test_executor.py","Unscored contexts are permitted with W001 rather than rejected; there is no dedicated executor boundary suite proving deterministic entity-key truncation.","SPEC.md:251-267; WHITEPAPER.md:735-789; DECISIONS.md:136-145","The accepted warning behavior conflicts with some tooling hover text that says scoring is required."
CQL-CORE-PAR-003,parameters,"Native context declarations and invocations lower typed parameter definitions and named argument bindings.","grammar/contextql.lark:88-90,164-166; contextql/semantic.py:145-150,707-750,825-939","CREATE CONTEXT name(params); context(args)",surface,M2,"tests/test_parser.py:144-146; tests/test_semantic_context_model.py:109-123","Native executor never substitutes invocation arguments into definition SQL; argument passing is only used for MCP providers at contextql/executor.py:1255-1266.","SPEC.md:97-118; DECISIONS.md:172-184","Native parameterization is modeled, not an executable vertical slice."
CQL-CORE-DDL-001,context-ddl,"CREATE/ALTER/DROP/SHOW/DESCRIBE/VALIDATE/REFRESH CONTEXT execute through the public engine.","grammar/contextql.lark:159-191; contextql/semantic.py:825-1135; contextql/context_ddl.py:69-955","Engine.execute with context DDL",integrated,M4,"tests/test_context_ddl.py:33-397","SHOW ... WHERE and REFRESH ALL ... WHERE parse but the lowered models/executor preserve only limited filters; validation evaluates schema with LIMIT 0 despite whitepaper wording that definition is not evaluated.","SPEC.md:55-148; WHITEPAPER.md:2440-2486; README.md:66","The DDL vertical slice is broad, but not every grammar option is behaviorally effective."
CQL-CORE-DDL-002,dependencies,"DDL tracks dependencies, rejects undefined/self/cyclic definitions, enforces RESTRICT, and supports transitive CASCADE.","contextql/context_ddl.py:205-237,413-477,496-561","CREATE/ALTER/DROP CONTEXT",verified,M5,"tests/test_context_ddl.py:69-101,185-205,297-341","Rename with dependents is rejected rather than updating references; SQL dependency extraction is limited to ContextQL context invocations.","SPEC.md:122-148; WHITEPAPER.md:1147-1224","Strong negative-path evidence for the reference catalog."
CQL-CORE-CMP-001,composition,"COMPOSE definitions lower UNION/INTERSECT/WEIGHTED items and participate in dependency validation.","grammar/contextql.lark:172-174; contextql/semantic.py:153-164,911-918,1117-1134; contextql/context_ddl.py:205-237","CREATE CONTEXT ... AS COMPOSE (...) WITH STRATEGY ...",surface,M2,"tests/test_semantic_context_model.py:143-162; tests/test_context_ddl.py:69-101,185-205","Composition entries have no definition SQL, are not registered with DuckDB, and refresh does not build a composite snapshot; no successful composed-context query test exists.","SPEC.md:123-138; WHITEPAPER.md:307-461","This is a partial vertical slice and should not be marked executable."
CQL-CORE-LIF-001,lifecycle,"The core catalog stores draft/validated/active/retired values and ALTER can set any of the four strings.","contextql/context_ddl.py:51,270-411; contextql/semantic.py:310-347","ALTER CONTEXT ... SET STATE",executable,M3,"tests/test_context_ddl.py:365-371","CREATE DDL sets active at contextql/context_ddl.py:171; the executor never gates queries by lifecycle state and E112 is not emitted; documented nine-state lifecycle is absent.","README.md:47,70; WHITEPAPER.md:1226-1365,2583; SPEC.md:269-304","Lifecycle is metadata, not a governed state machine."
CQL-CORE-OPT-001,options,"Context materialization options are typed, defaulted, and cross-validated with stable E150-E162 failures.","contextql/context_options.py:20-209; contextql/errors.py:99-132; contextql/semantic.py:167-181","CREATE CONTEXT ... WITH (...) ",verified,M5,"tests/test_context_ddl.py:104-169,343-361; tests/test_hardening_plan.py:143-255","Scheduled refresh options are stored but no embedded scheduler exists; native incremental refresh is deliberately rejected.","SPEC.md:150-173,306-325; DECISIONS.md:1107-1403","Option semantics are strong at validation, partial operationally."
CQL-CORE-SNP-001,snapshots,"Materialized native contexts build immutable versioned snapshots, atomically promote a current pointer, retain prior versions, and keep last-good state on failed refresh.","contextql/context_ddl.py:666-927; contextql/membership.py:37-59,197-428; contextql/snapshot_resolution.py:11-72","REFRESH CONTEXT; Engine.membership",verified,M5,"tests/test_snapshot_lifecycle.py:35-173; tests/test_membership_store.py:54-102; tests/test_hardening_plan.py:53-96","Embedded durability depends on an injected repository; the default InMemoryCatalogRepository is explicitly no-op.","SPEC.md:306-353; WHITEPAPER.md:1100-1365; DECISIONS.md:1107-1403","Atomic publication and compatibility checks are well tested in process."
CQL-CORE-HIS-001,history,"History-enabled snapshots record append-oriented membership/score changes and resolve AT/BETWEEN against retained history.","contextql/history.py:18-258; contextql/executor.py:554-657; contextql/temporal.py:7-43","context_ref AT literal/BETWEEN; history store",verified,M5,"tests/test_hardening_plan.py:258-458,589-627; tests/test_snapshot_lifecycle.py:82-151","This implements membership-history semantics, conflicting with earlier OQ-9 event-time filtering; BETWEEN returns ever-members with max observed score, which needs explicit normative confirmation.","SPEC.md:269-304; WHITEPAPER.md:546-613; DECISIONS.md:147-154 and later CS decisions","One of the highest-priority semantic decision points."
CQL-CORE-BMP-001,storage,"Set and optional Roaring64 membership stores support versioned snapshots, scores, delta staging, algebra, serialization, and pruning.","contextql/membership.py:37-591; contextql/membership_roaring.py:23-164; contextql/snapshot_codec.py:12-41","Engine.membership; ContextMembershipStore protocol",verified,M5,"tests/test_membership_store.py:54-205; tests/test_hardening_plan.py:143-190","String/UUID/composite keys are not dictionary-encoded for Roaring; explicit roaring requires integer entity keys.","WHITEPAPER.md:1055-1145,2637-2645,2683; SPEC.md:306-325","The hot bitmap tier exists; Arrow warm tier, Parquet cold tier, and automatic promotion/demotion do not."
CQL-CORE-PUS-001,optimization,"Eligible materialized integer-key predicates are pushed into DuckDB as registered member relations before base-row materialization.","contextql/executor.py:350-453; contextql/adapters/duckdb_adapter.py:158-199","Transparent query optimization",verified,M5,"tests/test_bitmap_pushdown.py:48-171; tests/test_hardening_plan.py:541-587","Mixed predicates and unsupported shapes fall back; there is no general cost model or optimizer module.","WHITEPAPER.md:976-1053,2396-2403; docs/architecture/BITMAP_CONTEXT_STORAGE.md","A concrete optimization exists but should not support broad cost-based-optimizer claims."
CQL-CORE-CAT-001,persistence-contract,"Core exposes a repository protocol for catalog load/save/drop, atomic snapshot promotion, hydration, and history pruning.","contextql/catalog_repository.py:15-70; contextql/__init__.py:170-236","Engine(catalog_repository=...)",integrated,M4,"tests/test_snapshot_lifecycle.py:153-173; server repository integration is inventoried separately","InMemoryCatalogRepository methods are all no-ops at contextql/catalog_repository.py:44-70; core contains no durable repository implementation.","SPEC.md:306-353; WHITEPAPER.md:1100-1145","The persistence boundary is implemented; persistence itself belongs to the deployment/server layer."
CQL-CORE-AUD-001,audit,"DDL emits callback events for create/alter/drop/validate/refresh and isolates committed DDL from callback failure.","contextql/__init__.py:467-474; contextql/context_ddl.py:936-952","Engine.on_ddl_audit",verified,M5,"tests/test_context_ddl.py:278-295","Events are ephemeral callbacks, not the whitepaper's durable hash-chained audit log; callback failure is only logged.","WHITEPAPER.md:1688-1760; DECISIONS.md:774-796","Core provides an integration hook, not audit persistence or integrity."
CQL-CORE-MCP-001,federation,"Registered MCP providers resolve entity membership and optional scores with named parameters, per-query caching, timeout policy, and entity-type validation.","contextql/__init__.py:385-408; contextql/providers/base.py:41-157,230-258; contextql/executor.py:1239-1419","Engine.register_mcp_provider; MCP(name)",integrated,M4,"tests/test_mcp_remote.py:91-260; tests/test_provider_contract.py:15-112,127-148","Timeout uses a one-worker ThreadPoolExecutor and warn/error only; no circuit breaker, provider fan-out bound, trust enforcement, or async API.","README.md:265-301; WHITEPAPER.md:1394-1489,2615,2655; DECISIONS.md:198-210,993-1010","Reference federation runtime is functional but operational policy is narrow."
CQL-CORE-REM-001,federation,"Registered REMOTE providers materialize relational results into DuckDB and accept projection/filter/limit hints plus optional bounded entity filters.","contextql/__init__.py:411-421; contextql/providers/base.py:159-229,260-294; contextql/executor.py:673-889","Engine.register_remote_provider; FROM/JOIN REMOTE(provider.resource)",integrated,M4,"tests/test_mcp_remote.py:263-360; tests/test_federation_integration.py:92-176; tests/test_hardening_plan.py:460-489,517-539","Providers execute synchronously through a thread timeout; pagination cursors/watermarks are modeled but not iterated by the executor, and there is no schema-evolution registry.","README.md:265-301; WHITEPAPER.md:1491-1533,2679; DECISIONS.md:551-568","Safe narrowing is implemented for bounded shapes; distributed federation is not."
CQL-CORE-PRV-001,provider-contract,"MCPResult supports exactly one of ID-list or Roaring64 bitmap membership with size/encoding validation; RemoteResult accepts rows/DataFrame/Arrow; EntityFilter carries bounded IDs or bitmap.","contextql/providers/base.py:41-229","contextql.providers public dataclasses/protocols",verified,M5,"tests/test_provider_contract.py:15-148; tests/test_providers_package.py:202-229","Roaring bitmap contracts require the optional pyroaring package; key type compatibility is validated only at limited boundaries.","DECISIONS.md:975-1010; docs/architecture/DEEPSEE_CONNECTOR.md","A stable provider contract exists beyond the original whitepaper prose."
CQL-CORE-IDN-001,identity,"Exact path-pair identity maps let a context or MCP entity key bind to a different DataFrame column.","contextql/__init__.py:424-451; contextql/executor.py:892-980,1422-1471","Engine.register_identity_map",integrated,M4,"tests/test_identity_map.py:73-270; tests/test_federation_integration.py:179-237","Matching is column-name string equivalence only; TODO at contextql/executor.py:969 notes no type/confidence validation; no global canonical IDs, temporal or probabilistic identity.","README.md:294-301; WHITEPAPER.md:1535-1626,2645; DECISIONS.md:570-672","Do not describe this as the full global entity namespace."
CQL-CORE-BND-001,resource-bounds,"Engine can reject oversized intermediate results, unsafe unbounded membership fallback, and REMOTE joins that cannot be narrowed safely.","contextql/__init__.py:170-216; contextql/executor.py:524-552,673-753,174-255","Engine(max_intermediate_rows=...)",verified,M5,"tests/test_hardening_plan.py:517-587","There are no public max-contexts, max-provider-count, max-result-byte, memory, concurrency, or LLM-specific bounds in core.","WHITEPAPER.md:1004-1019,2182; DECISIONS.md:505-515","Strong fail-before-provider/dataframe evidence for the implemented bounds."
CQL-CORE-TRC-001,provenance,"Each query returns a trace of resolved contexts, provider calls/timing, identity maps, and score breakdown, including snapshot version labels.","contextql/executor.py:46-70,174-255; contextql/__init__.py:93-104","Result.trace",integrated,M4,"tests/test_federation_integration.py:179-237; tests/test_bitmap_pushdown.py:115-121","Trace is in-memory per result; no durable lineage graph or complete evidence records are produced.","WHITEPAPER.md:1688-1760; README.md:221-301","Useful execution provenance, narrower than audit/lineage claims."
CQL-CORE-EXP-001,explain,"Engine.explain returns a non-executing human-readable semantic plan with context, MCP, REMOTE, join, projection, order, and limit information.","contextql/__init__.py:476-553","Engine.explain; QueryBuilder.explain; cql explain",integrated,M4,"tests/test_builder.py:194-205; tests/test_mcp_remote.py:363-397","The grammar's EXPLAIN CONTEXT statement is not lowered/executed; output is a string rather than a stable plan model and is not adapter EXPLAIN SQL.","WHITEPAPER.md:903-974; DECISIONS.md:287-294","Core explain is dry; server explain behavior is inventoried separately."
CQL-CORE-EVT-001,process-intelligence,"CREATE EVENT LOG parses, lowers, and receives structural semantic checks.","grammar/contextql.lark:194-206; contextql/semantic.py:288-307,1138-1169,1378-1408","ContextQLParser/analyze_sql only",surface,M2,"tests/test_parser.py:193-203; tests/test_semantic.py:278-305","Event-log statements are outside DDL_STATEMENT_TYPES and are rejected by executor; ALTER/DROP/SHOW/DESCRIBE variants parse but lower to UNKNOWN.","SPEC.md:422-462; WHITEPAPER.md:791-902,2488-2497; DECISIONS.md:82-92","No event-log catalog or executable process runtime is reachable."
CQL-CORE-PRC-001,process-intelligence,"CREATE PROCESS MODEL parses, lowers expected paths, and validates event-log references.","grammar/contextql.lark:209-212; contextql/semantic.py:298-307,1172-1197,1410-1432","ContextQLParser/analyze_sql only",surface,M2,"tests/test_parser.py:205-213; tests/test_semantic.py:295-332","Executor rejects process-model statements; process functions such as THROUGHPUT_TIME_BETWEEN parse but have no dedicated execution semantics beyond SQL reconstruction.","SPEC.md:422-462; WHITEPAPER.md:791-902,2500-2506; DECISIONS.md:296-406","Process intelligence is a designed/parser scaffold, not an executable subsystem."
CQL-CORE-SEC-001,security-syntax,"GRANT, CREATE NAMESPACE, SET, and provider-registration statements exist in the grammar.","grammar/contextql.lark:214-250","ContextQLParser only",surface,M2,"tests/test_post_trade_definition.py:119-137 covers provider-registration parsing","SemanticLowerer has no models for these statements and executor rejects them; there is no privilege/RLS/tenant enforcement package.","WHITEPAPER.md:1628-1842,2508-2527; DECISIONS.md:700-796","These surfaces are syntax scaffolds and must not support production-security claims."
CQL-CORE-API-001,python-api,"The top-level Python API exports Engine/ContextQL, Result, builder/decorator, parser/linter models, and provider contracts.","contextql/__init__.py:141-655","import contextql; Engine; ContextQL; demo; @engine.context",integrated,M4,"tests/test_result.py:30-160; tests/test_builder.py:33-257; tests/test_mcp_remote.py:400-416; tests/test_providers_package.py:29-60","No contextql.aio async API, client/server API abstraction, or stable exception hierarchy exists.","README.md:67,221-301; WHITEPAPER.md:2031-2090; DECISIONS.md:957-991","The synchronous embedded SDK is substantial; the whitepaper async surface is absent."
CQL-CORE-RES-001,python-api,"Result exposes pandas output, optional Arrow/Polars conversion, display, row/column metadata, generated SQL, diagnostics, and trace.","contextql/__init__.py:18-117","Result",integrated,M4,"tests/test_result.py:30-160","Errors are generally ValueError/RuntimeError strings rather than structured ContextQLError objects described by the whitepaper; test_to_polars_raises_without_polars is environment/order fragile because it checks sys.modules rather than import availability.","WHITEPAPER.md:2033-2050,2259-2278","Output conversion works, while programmatic error handling diverges and one optional-dependency test needs repair."
CQL-CORE-BLD-001,python-api,"QueryBuilder and the context decorator generate and execute common SELECT/context query shapes.","contextql/_builder.py:26-236; contextql/__init__.py:556-614","Engine.query; QueryBuilder; Engine.context decorator",integrated,M4,"tests/test_builder.py:33-257","Builder lacks CTE/group/having/temporal/MCP/REMOTE/DDL surfaces and performs string assembly rather than typed validation.","README.md:200-219; docs/TOOLING.md:115-149","Useful convenience API, intentionally narrower than the language."
CQL-CORE-CLI-001,devx,"The cql entry point provides bare/demo REPL, file execution, explain, and table/json/csv output.","pyproject.toml:34-36; contextql/cli.py:32-218","cql; cql demo; cql explain; --file; --output",executable,M3,"No dedicated CLI test module; behavior is reachable through the installed script entry point.","CLI lacks documented watch/test/validate/parse/provider-health commands; file splitting is naive semicolon splitting at contextql/cli.py:129.","README.md:68,130-177; WHITEPAPER.md:1965-1985; docs/TOOLING.md:102-113","Implementation status is credible for the narrow command set, not the whitepaper CLI."
CQL-CORE-JUP-001,devx,"The IPython extension registers %%cql, %cql_setup, and %cql_contexts and stores Result objects in the user namespace.","contextql/__init__.py:631-642; contextql/_magic.py:34-160","%load_ext contextql; %%cql; %cql_setup; %cql_contexts",executable,M3,"No notebook/magic test module exists.","The line-magic helper is an empty pass at contextql/_magic.py:45-47; errors are printed rather than surfaced structurally; optional IPython dependency is undeclared.","README.md:69,83-85; WHITEPAPER.md:2092-2115; docs/TOOLING.md:151-169","Public notebook path exists but lacks automated evidence."
CQL-CORE-LSP-001,devx,"The pygls server publishes parser/linter diagnostics, static and in-memory catalog completions, keyword/catalog hover, and regex document symbols.","contextql/lsp/server.py:29-265; pyproject.toml:34-36","contextql-lsp; VS Code extension client",integrated,M4,"tests/test_lsp.py:21-203","No go-to-definition despite the LSP specification; no live database or cached metadata connection; completion catalog is an empty module-global by default; performance targets are unmeasured.","README.md:64,318-326; docs/LANGUAGE_SERVER_SPEC.md:42-156; WHITEPAPER.md:2406-2408","Implemented LSP is a useful offline scaffold, behind its own specification."
CQL-CORE-ERR-001,error-model,"A central registry defines named syntax, semantic, option, runtime, federation, and warning codes.","contextql/errors.py:20-192","get_error; all_errors; diagnostics text",integrated,M4,"tests/test_linter.py; tests/test_context_ddl.py:104-169; tests/test_hardening_plan.py:258-318","Many runtime paths construct bracketed strings directly; E300/E400 advertised in whitepaper are absent, W100/W101 meanings conflict with earlier documents, and no generated cross-document registry exists.","WHITEPAPER.md:2196-2278; README.md:454-472; DECISIONS.md:945-955","Registry exists, but ownership/usage consistency is an H0 decision."
CQL-CORE-TYP-001,type-system,"A standalone type model defines context/scalar/set kinds and entity-key compatibility.","contextql/types.py:32-99","Internal module",surface,M2,"tests/test_semantic.py:48-69 tests the separate semantic EntityKeyType","contextql/types.py:3-4 explicitly says it is not integrated; semantic.py defines a second EntityKeyType and most type checks are metadata/string based.","WHITEPAPER.md:254-305; SPEC.md:493-514","This is an orphan/duplicate implementation candidate until the type authority is decided."
CQL-CORE-ADP-001,adapter,"DuckDB is the sole executable adapter for tables, live contexts, batching, temporary membership relations, and query execution.","contextql/adapters/duckdb_adapter.py:22-204","Engine(database=...); register_table",integrated,M4,"tests/test_executor.py:96-164; tests/test_bitmap_pushdown.py","No Polars/Arrow compute adapter exists; Arrow/Polars support is output conversion only.","README.md:66; WHITEPAPER.md:2396-2403,2425-2435","Document implementation claims must distinguish output formats from execution adapters."
CQL-CORE-BEN-001,performance,"A deterministic post-trade generator, committed 10M benchmark script, raw JSON result, and provenance assertions exist.","benchmarks/post_trade_benchmark.py; contextql/datasets/post_trade.py:32-377; docs/benchmarks/post-trade-10m-2026-07-24.json; docs/benchmarks/README.md","python benchmarks/post_trade_benchmark.py",verified,M5,"tests/test_benchmark_evidence.py:18-55; tests/test_post_trade_dataset.py:29-179","Evidence covers one clean source commit/configuration; it does not establish all whitepaper millisecond/sub-microsecond, multi-tier, or distributed scale claims.","WHITEPAPER.md:69,976-1145,2583; docs/benchmarks/README.md","Benchmark maturity is high for its measured scenario but must not be generalized."
