capability_id,domain,atomic_claim,implementation_evidence,public_surface,reachability,maturity,positive_evidence,negative_evidence,notes
CQL-SRV-PRO-001,providers,"The provider registry durably stores MCP/REMOTE metadata lifecycle and health fields.","contextql-server:app/services/provider_service.py:19-214; app/db/migrations/001_initial.sql:29-49","/providers APIs",integrated,M4,"contextql-server:tests/test_providers.py",,"Credentials are stored as references."
CQL-SRV-PRO-002,providers,"Provider CRUD enable disable and health APIs are available.","contextql-server:app/api/providers.py:20-108","POST/GET/PUT /providers",integrated,M4,"contextql-server:tests/test_providers.py",,"Health endpoint returns stored state rather than actively probing an endpoint."
CQL-SRV-PRO-003,providers,"Persisted provider records are not automatically instantiated or registered with the core engine.","contextql-server:app/main.py:41-45; app/services/provider_service.py","provider startup integration",not_integrated,M2,,"No provider_service.sync_to_engine equivalent exists.","Built-in/mock providers are registered through separate startup code."
CQL-SRV-ID-001,identity,"Identity map metadata is persisted and synchronized to the engine at startup.","contextql-server:app/services/identity_service.py:24-114; app/main.py:57-60","/identity-maps APIs",integrated,M4,"contextql-server:tests/test_identity.py",,"Only registration/list/describe APIs are present."
CQL-SRV-ID-002,identity,"The server model records matching mode and confidence but the runtime sync registers path pairs only.","contextql-server:app/models/identity.py:6-33; app/services/identity_service.py:97-110","identity registry",partial,M2,"contextql-server:tests/test_identity.py","No probabilistic matching or global canonical entity namespace is implemented.","Metadata maturity exceeds execution semantics."
CQL-SRV-AUD-001,audit,"Mutation query lifecycle and server events can be appended to a filterable SQLite audit log.","contextql-server:app/services/audit_service.py:9-84; app/api/audit.py:15-39","GET /audit/",integrated,M4,"contextql-server:tests/test_audit.py",,"Append-only behavior is a service convention rather than a database immutability control."
CQL-SRV-AUD-002,audit,"Audit records are not hash chained signed or protected by authorization.","contextql-server:app/db/migrations/001_initial.sql:68-77; app/services/audit_service.py","audit storage",absent,M1,,"No hash-chain/RBAC enforcement code is present.","Whitepaper regulated-industry claims exceed this maturity."
CQL-SRV-SEC-001,security,"The server has no authentication RBAC RLS or tenant-enforcement middleware.","contextql-server:app/main.py; app/api; app/dependencies.py","all HTTP APIs",absent,M1,,"No authentication dependency or permission check is wired into routes.","Namespace and classification are metadata not access controls."
CQL-SRV-DS-001,connector,"DeepSee client supports credential resolution bounded retry/backoff timeout and response validation.","contextql-server:app/connectors/deepsee/auth.py; client.py:42-237","connector client",integrated,M5,"contextql-server:tests/test_deepsee_connector.py",,"Connector is vendor-specific reference integration."
CQL-SRV-DS-002,connector,"DeepSee MCP provider supports id-list and Roaring64 bitmap membership with pagination watermarks scores and evidence references.","contextql-server:app/connectors/deepsee/mcp_provider.py:27-143","MCP provider contract",integrated,M5,"contextql-server:tests/test_deepsee_connector.py",,"Pagination is bounded by a maximum-page guard."
CQL-SRV-DS-003,connector,"DeepSee REMOTE provider supplies bounded relational evidence resources and rejects rows outside requested entity filters.","contextql-server:app/connectors/deepsee/remote_provider.py:17-70","REMOTE provider contract",integrated,M5,"contextql-server:tests/test_deepsee_connector.py",,"Only two modeled resources are supported."
CQL-SRV-DS-004,connector,"DeepSee synchronizer supports bootstrap incremental folding idempotency durable watermarks and failure-safe publication.","contextql-server:app/connectors/deepsee/synchronizer.py:79-294; app/repositories/synchronizer_state.py:8-67","connector synchronizer",integrated,M5,"contextql-server:tests/test_hardening_runtime.py:354-446; tests/test_deepsee_connector.py",,"A generic federation broker/scheduler contract is not present."
CQL-SRV-VER-001,versioning,"Server version metadata is inconsistent across package and application surfaces.","contextql-server:pyproject.toml:7; app/main.py:82-99; README.md:14","package and HTTP metadata",divergent,M2,,"Package/README say v0.1 while FastAPI and audit startup report 0.3.0.","Requires adjudication rather than an automatic version bump."
